Dutch                   ,English
afronden                ,complete
afsluiten               ,to close
bovendien               ,moreover
daadwerkelijk           ,actually
daarnaast               ,in addition
doordat                 ,because
doorgaan (met)          ,to continue
doorzetter (de)         ,persevering person
gast (de)               ,guest
gedachte (de)           ,thought
gelijk                  ,immediately
gestaan                 ,steadily
heleboel                ,a lot
hinderen                ,to hinder
hoesten                 ,to cough
inburgeren              ,to integrate
invullen                ,to fill in
langzamerhand           ,gradually
mijlpaal (de)           ,milestone
nadoen                  ,to imitate
neiging (de)            ,tendency
ontevreden (met / over) ,dissatisfied
opbowen                 ,to build up
patroon (het)           ,pattern
regelen                 ,to arrange
ronduit                 ,downright
stroom (de)             ,stream / flow
tenslotte               ,finally
tevreden (met / over)   ,satisfied
uiten (zich)            ,to express
verbinden (met)         ,to connect
vergaan                 ,to perish
vergelijken (met)       ,to compare
vergelijking (de)       ,comparison
verhuizen (naar)        ,to move (to)
verwoorden              ,to put into words
verzekening (de)        ,insurance
vlak                    ,flat
voeren                  ,to conduct
voertaal                ,language of communication
vrijwilliger (de)       ,volunteer
vrijwilligerswerk (het) ,voluntary work
zoiets                  ,something like that
zorg (de)               ,care
zorgverzekering (de)    ,health insurance
